,series_title,primary_work_count,series_work_count,series_description,link
16,Charlie Parker,16,22,"Former New York City policeman Charlie ""Bird"" Parker is a private investigator whose cases increasingly take on shades of the supernatural. Charlie Parker is a private investigator in Albuquerque (New Mexico). Also known as: A Girl and Her Dog",https://www.goodreads.com/series/42499-charlie-parker
17,OPSIG Team Black,3,3,"America's safety is on the line. Dangerous missions need to be carried out. And they can't be traced back to the United States. Who gets the call? Missions the United States government cannot sanction-or acknowledge-fall under the purview of OPSIG, the Operations Support Intelligence Group, run out of a secret office in the basement of the Pentagon. Hector DeSantos, a covert special forces operative introduced in The Hunted, teams up with other OPSIG operatives-including FBI Agent Aaron ""Uzi"" Uziel and FBI profiler Karen Vail-to keep America safe from terror attacks, international assassins, rogue governments intent on doing the US harm, and other threats the public will never know about. So dig in and meet the OPSIG Team Black men and women in stories that a real Navy SEAL described as, ""Incredibly realistic. This is how we did it in the SEAL teams.""",https://www.goodreads.com/series/164072-opsig-team-black
18,Nick Heller,3,5,"Nick Heller is a Special Forces intelligence investigator, a ""private spy"" who specializes in digging up secrets that powerful people would rather keep hidden. In this thriller series from New York Timesbestselling author Joseph Finder, Nick finds himself risking his life as he makes shocking discoveries and comes up against dangerous conspiracies. http://us.macmillan.com/series/NickHeller",https://www.goodreads.com/series/76920-nick-heller
19,Chief Inspector Mario Silva,7,8,Mario Silva is a Chief Inspector for Criminal Matters of the Federal Police of Brazil.,https://www.goodreads.com/series/51698-chief-inspector-mario-silva
20,Alex McKnight,10,11,"Ex-Detroit police detective Alex McKnight is a private investigator in (fictional) Paradise, Michigan, in the Upper Peninsula on the shores of Lake Superior. http://us.macmillan.com/series/AlexMcKnightNovels",https://www.goodreads.com/series/50945-alex-mcknight
21,Mitch Rapp,16,20,"Mitch Rapp is a counter-terrorism operative employed, first unofficially then officially, by the CIA. The primary focus of the character is thwarting Middle Eastern terrorist attacks on the United States and he is presented as an aggressive operative who is willing to take measures that are more extreme than might be considered commonly acceptable. Series listed here in chronological order. Publication order as follows: Year Pub Title 1999 Transfer of Power 2000 The Third Option 2001 Separation of Power 2003 Executive Power 2004 Memorial Day 2005 Consent to Kill 2006 Act of Treason 2007 Protect and Defend 2008 Extreme Measures 2009 Pursuit of Honor 2010 American Assassin 2012 Kill Shot 2012 The Last Man 2015 The Survivor 2016 Order to Kill 2017 Enemy of the State",https://www.goodreads.com/series/40589-mitch-rapp
22,Cas Larkin Mystery,5,5,Cas Larkin is the Pine County Sheriff in Tennessee. Also Known as: Maryvale,https://www.goodreads.com/series/52033-cas-larkin-mystery
23,Gypsy Brothers,13,13,"Welcome to Venice Beach, California. Home to the Gypsy Brothers motorcycle club.",https://www.goodreads.com/series/118836-gypsy-brothers
24,Chip Harrison,4,6,"Previously published under pseudonyms and in omnibus collections, the Chip Harrison novels are now being individually published under Lawrence Block's name.",https://www.goodreads.com/series/53463-chip-harrison
25,Cotton Malone,13,22,Cotton Malone is an agent with the Magellan Billet. The Billet is a division inside the Justice Department that concentrates on international investigations.,https://www.goodreads.com/series/44279-cotton-malone
26,Mobile Library Mystery,4,4,"Israel Armstrong, a Jewish vegetarian from London, in charge of a mobile library in the village of Tumdrum, Northern Ireland, in the Mobile Library mysteries:",https://www.goodreads.com/series/41306-mobile-library-mystery
27,The Oland Quartet,4,4,"This series also known as: * OlandskvartettenThe Oland Quartet, one book for each season of the year, starting with autumn, on the island of Oland, Sweden:",https://www.goodreads.com/series/58273-the-land-series
28,Kay Scarpetta,24,41,"Dr. Kay Scarpetta is best known as the beautiful blonde Chief Medical Examiner for the Commonwealth of Virginia at Richmond. She is also known as one of the top forensic pathologists in the country. Along the way, the series also features FBI profiler Benton Wesley, Kay's genius niece Lucy Farinelli, and the unhealthy and balding homicide detective, Pete Marino.",https://www.goodreads.com/series/40351-kay-scarpetta
29,Pizza Lovers,7,7,"Eleanor Swift owns a pizzeria, A Slice of Life, in a small town in North Carolina.",https://www.goodreads.com/series/49535-pizza-lovers
30,Rookie K-9 Unit,6,6,Rookie K-9 Unit: These lawmen solve the toughest cases with the help of their brave canine partners.,https://www.goodreads.com/series/164687-rookie-k-9-unit
31,Bodyguards Inc.,7,10,A series of connected books based around Bodyguards Inc.,https://www.goodreads.com/series/91047-bodyguards-inc
32,Kinsey Millhone,26,43,"Kinsey Millhone is a private investigator in (fictional) Santa Teresa, California (based on the city of Santa Barbara). In her 30s, she ages one year every 2 1/2 books, from 32 in A to 38 in W. http://www.suegrafton.com/bookshelf.php",https://www.goodreads.com/series/40882-kinsey-millhone
33,Templar Knight Mystery,9,9,"Bascot de Marins, a Templar Knight recovering from imprisonment in the holy lands, in the early 1200s, in England:",https://www.goodreads.com/series/44670-templar-knight-mystery
34,Lord Peter Wimsey,15,41,"Lord Peter Bredon Wimsey is a bon vivant sleuth in a series of detective novels and short stories by Dorothy L. Sayers, in which he solves mysteries -- usually but not always murders. The novels are set in Britain contemporaneously with when they were written, from the early 1920s to the late 1930s; Sayers returned to Wimsey was the 1942 short story ""Talboys."" See also .",https://www.goodreads.com/series/42773-lord-peter-wimsey
35,Inspector Rebus,21,37,"John Rebus once served in Britain's elite SAS. Now he's an Edinburgh cop who hides from his memories and misses promotions. To solve brutal murders, he enters the grittiest sides of Edinburgh, the dark heart of contemporary Scotland which lurks behind the elegant and historic buildings. Hard-boiled Inspector Rebus has been described as ""the most compelling mind in modern crime fiction"" (Independent) and ""a masterful creation"" (Observer), and this mystery series is sure to thrill. http://us.macmillan.com/series/InspectorRebusNovels",https://www.goodreads.com/series/42078-inspector-rebus
36,Alex Cross,25,36,"Dr. Alex Cross is a specialist in forensic psychology, originally working for the Washington DC police department and later as an FBI senior agent. Each book in the series is a whole story with a beginning and an ending, however there are references to prior stories in the series. Series also known as: * I casi di Alex Cross [Italian]",https://www.goodreads.com/series/40543-alex-cross
37,A Mystery with Recipes,13,13,"Bernie and Libby Simmons, caterers in Longely, New York, in the Mystery with Recipes series:",https://www.goodreads.com/series/43218-a-mystery-with-recipes
38,Hercule Poirot,40,57,"Mysteries with the Belgian detective Hercule Poirot. These can mostly be read as stand-alone in any order, but based on internal chronology The Mysterious Affair at Stylesis the first Poirot story and Curtainwas written to be the final Poirot story and should be read last. Other points to note are: 1. Lord Edgware Diesshould be read before After the Funeral. 2. Five Little Pigsshould be read before Elephants Can Remember. 3. Cat Among the Pigeonsshould be read before Hallowe'en Party. 4. Mrs McGinty's Deadshould be read before Hallowe'en Partyand Elephants Can Remember. 5. Murder on the Orient Expressshould be read before Murder in Mesopotamia. 6. Three Act Tragedyshould be read before Hercule Poirot's Christmas. The two volumes Hercule Poirot: The Complete Short Storiesand Hercule Poirot's CasebookBOTHcontain ALLof the Poirot short stories. Most of Book #38.1 ""The Under Dog and Other Stories"" stories can be found in book #38 ""Poirot's Early Cases"". Note that many books of Agatha Christie short stories contain a mixture of detectives. For example, Problem at Pollensa Baycontains 8 stories but only 2 feature Poirot.",https://www.goodreads.com/series/51138-hercule-poirot
39,Roma Sub Rosa,12,13,Gordianus the Finder is a private investigator working around 56 b.c. in Ancient Rome. This series is rich with history and historical figures. Gordianus even counts Cicero as his friend and mentor. Prequels are a separate series called http://us.macmillan.com/series/NovelsofAncientRome,https://www.goodreads.com/series/41141-roma-sub-rosa
40,Sharpe & Donovan,7,8,"Emma Sharpe and Colin Donovan, FBI agents in a romantic suspense series:",https://www.goodreads.com/series/66107-sharpe-donovan
41,Cat in the Stacks,9,9,"* Charlie Harris, a widowed librarian, and Diesel, a Maine coon cat, in the college town of Athena, Mississippi, in the Cat in the Stacks series:",https://www.goodreads.com/series/50321-cat-in-the-stacks
42,Philip Marlowe,11,12,"Philip Marlowe was Los Angeles's toughest detective in the groundbreaking series by Raymond Chandler that established the ""hard-boiled detective"" subgenre.",https://www.goodreads.com/series/168991-philip-marlowe
43,Jimmy Paz,3,3,Jimmy Paz is a Cuban-American police detective in Miami.,https://www.goodreads.com/series/52051-jimmy-paz
44,Gervase Fen,11,11,"Gervase Fen, a professor of English in Oxford, England:",https://www.goodreads.com/series/55816-gervase-fen
45,Encyclopedia Brown,28,31,"Leroy Brown, aka Encyclopedia Brown, is Idaville neighborhood's ten-year-old star detective. With an uncanny knack for trivia, he solves mysteries for the neighborhood kids through his own detective agency. But his dad also happens to be the chief of the Idaville police department, and every night around the dinner table, Encyclopedia helps him solve his most baffling crimes. And with ten confounding mysteries in each book, not only does Encyclopedia have a chance to solve them, but the reader is given all the clues as well. Interactive and chock full of interesting bits of information--it's classic Encyclopedia Brown!",https://www.goodreads.com/series/40486-encyclopedia-brown
46,Mary Russell and Sherlock Holmes,15,25,"When a young woman literally stumbles into Sherlock Holmes, a brilliant mystery series begins. It is 1915, and Holmes is retired and quietly engaged in the study of honeybees, when he meets fifteen-year-old Mary Russell--gawky, egotistical, and recently orphaned, with an intellect to impress even Sherlock Holmes. Under his reluctant tutelage, 20th century Miss Russell proves a deft protegee and a fitting partner for the Victorian detective.",https://www.goodreads.com/series/40966-mary-russell-and-sherlock-holmes
47,Chronicles of Brother Cadfael,21,52,"The character of Cadfael himself is a Welsh Benedictine monk living at Shrewsbury Abbey, in western England, in the first half of the 12th century. The historically accurate stories are set between about 1135 and about 1145, during ""The Anarchy"", the destructive contest for the crown of England between King Stephen and Empress Maud. As a character, Cadfael ""combines the curious mind of a scientist/pharmacist with a knight-errant"", entering the cloister in his forties after being both a soldier and a sailor, this experience gives him an array of talents and skills useful in monastic life. He is a skillful observer of human nature, inquisitive by nature, energetic, a talented herbalist (work he learned in the Holy Lands), and has an innate, although modern, sense of justice and fair-play. Abbots call upon him as a medical examiner, detective, doctor, and diplomat. His worldly knowledge, although useful, gets him in trouble with the more doctrinaire characters of the series, and the seeming contradiction between the secular and the spiritual worlds forms a central and continuing theme of the stories. Series is also known as: * Le indagini di fratello Cadfael (Italian)",https://www.goodreads.com/series/42167-chronicles-of-brother-cadfael
48,Cherringham - A Cozy Crime Series,26,34,"German Series title: Cherringham - Landluft kann todlich sein>>Cherringham - Landluft kann todlich sein<< ist eine Cosy Crime Serie in der Tradition des klassischen englischen Krimis fur Fans von Miss Marple und Sherlock Holmes! Co-authors Neil Richards (based in the UK) and Matthew Costello (based in the US), have been writing together since the mid 90's, creating content and working on projects for the BBC, Disney Channel, Sony, ABC, Eidos, and Nintendo to name but a few. Their transatlantic collaboration has underpinned scores of TV drama scripts, computer games, radio shows, and - most recently - the successful crime fiction series Cherringham. First released as eBook novellas, Cherringham is popular around the world and has been adapted as a series of audiobooks in both English and German.",https://www.goodreads.com/series/139632-cherringham
49,What We Saw at Night,2,2,"Allie Kim suffers from Xeroderma Pigmentosum: a fatal allergy to sunlight that confines her and her two best friends, Rob and Juliet, to the night.",https://www.goodreads.com/series/112507-what-we-saw-at-night
50,Dr. Fenimore,5,5,"Dr. Andrew Fenimore, a family physician in Philadelphia, Pennsylvania:",https://www.goodreads.com/series/68774-dr-fenimore
51,Temperance Brennan,18,22,"Dr. Temperance ""Tempe"" Brennan is a forensic anthropologist, who investigates human remains at crime scenes where the flesh is too degraded for a coroner to obtain evidence (victims of arson, mutilation, advanced decomposition, etc.). Tempe is first introduced in Deja Dead. She is a native of the Carolinas and one of only fifty board-certified forensic anthropologists in North America.",https://www.goodreads.com/series/43556-temperance-brennan
52,Infected,10,16,Scott Sigler Series also known as: * Contagio [Italian],https://www.goodreads.com/series/56693-infected
53,An Odelia Grey Mystery,11,11,"Odelia Grey, a plus-sized, middle-aged paralegal, in southern California:",https://www.goodreads.com/series/43102-an-odelia-grey-mystery
54,Father Dowling,32,32,"Father Roger Dowling, St. Hilary's parish priest in Fox River, Illinois:",https://www.goodreads.com/series/67862-father-dowling
55,Kate Shackleton,9,10,"A 1920s young, amateur female detective.",https://www.goodreads.com/series/70508-kate-shackleton
56,Sebastian St. Cyr,13,13,Sebastian St. Cyr is an aristocrat detective in Regency England.,https://www.goodreads.com/series/40696-sebastian-st-cyr
57,Micky Knight,9,9,"Micky Knight, a lesbian private investigator in New Orleans, Louisiana:",https://www.goodreads.com/series/69838-micky-knight
58,A Sasha Solomon Mystery,3,3,"Sasha Solomon, a public relations director in New Mexico:",https://www.goodreads.com/series/68068-a-sasha-solomon-mystery
59,Nero Wolfe,47,49,"Nero Wolfe is a fictional detective, created in 1934 by the American mystery writer Rex Stout. Wolfe's confidential assistant Archie Goodwin narrates the cases of the detective genius. Stout wrote 33 novels and 39 short stories from 1934 to 1974, with most of them set in New York City. Wolfe's residence, a luxurious brownstone on West 35th Street, features prominently in the series. Many radio, television and film adaptations were made from his works. Besides these there are Rex Stout's Nero Wolfe books are listed below in order of publication.",https://www.goodreads.com/series/51837-nero-wolfe
60,Agatha Raisin,28,36,"Agatha Raisin is a frustrated, yet endearing, PR agent who retires from London to Carsley village in the Cotswolds, English Midlands and solves murders. In the first book, Agatha Raisin and the Quiche of Death (1992), Agatha is 53, and ages slowly, setting up her own detective agency in Agatha Raisin and the Deadly Dance (2004). Police, even her friend Bill Wong, see more bumbling luck than skill. http://www.agatharaisin.com/",https://www.goodreads.com/series/41464-agatha-raisin
61,Inspector Banks,24,47,Detective Chief Inspector Alan Banks is a policeman in Yorkshire (England).,https://www.goodreads.com/series/40970-inspector-banks
62,DI Peter Shaw & DS George Valentine,7,7,"Detective Inspector Peter Shaw and Detective Sergeant George Valentine in Norfolk, England:",https://www.goodreads.com/series/60544-di-peter-shaw-ds-george-valentine
63,The Secret Adventures of Charlotte Bronte,2,2,"Charlotte Bronte, the author, in mid-1880s England:",https://www.goodreads.com/series/56722-the-secret-adventures-of-charlotte-bront
64,The Executioner,41,41,"Executioner series (1969-1980) are a men's action-adventure series written by Don Pendleton. They revolve around the central character, Mack Bolan, in a stylized, pulp fiction format, beginning with War Against the Mafiain 1969, and ending with Satan's Sabbathin 1980. After Satan's Sabbath, Pendleton licensed the rights to his Executioner characters to the Harlequin publishing group. After fifteen Executioner novels, Pendleton became involved in a legal battle with the publisher, Pinnacle Books, over ownership of the series. Pinnacle had the next entry, The Executioner #16: Sicilian Slaughter, written by an unknown writer under the pseudonym ""Jim Petersen"". Pendleton wrote what was published as #17, Jersey Guns, as his own sequel to # 15, Panic in Phillyunder a new contract with New American Library, which was ultimately voided by the terms of his settlement with Pinnacle, and he returned to the Bolan character for twenty-one more novels. See also: ",https://www.goodreads.com/series/42137-the-executioner
65,Sharon McCone,32,38,Sharon McCone is a private investigator in San Francisco.,https://www.goodreads.com/series/43118-sharon-mccone
66,Rachel Goddard Mystery,6,6,"Rachel Goddard, a veterinarian, and later, Tom Bridger, Mason County sheriff's deputy, in McLean, Virginia:",https://www.goodreads.com/series/65544-rachel-goddard-mystery
67,Malcolm Fox,2,5,"Malcolm Fox, a cop working for the Complaints, the police internal affairs division, in Edinburgh, Scotland:",https://www.goodreads.com/series/60206-malcolm-fox
68,Travis McGee,21,30,"Travis McGee, an adventurer, philosopher, and ""salvage consultant"" who does unofficial favors for friends, in Fort Lauderdale, Florida. Each book in the series is a whole story with a beginning and an ending, however there are references to prior stories in the series.",https://www.goodreads.com/series/52264-travis-mcgee
69,Nameless Detective,41,47,"In a master stroke (or maybe just a happy accident), Bill Pronzini never got around to giving his private eye protagonist a name. He then turned around and made him such a well-rounded, finely-drawn character that a name was superflous. He's the detective as Everyman. Middle-aged, out of shape, content with a cold beer and one of his beloved pulp magazines to read, NAMELESS was the first true couch potato P.I. ",https://www.goodreads.com/series/40706-nameless-detective
70,FBI Thriller,21,35,"FBI thrillers with recurring characters, most importantly Dillon Savich and Lacey Sherlock, husband and wife FBI agents and computer specialists, mostly based in San Francisco, California:",https://www.goodreads.com/series/40971-fbi-thriller
71,George Smiley,9,9,"Novels by John le Carre in which the character George Smiley appears. Note that, with the exception of The Karla Trilogy, these are standalone works, and Smiley is often only a supporting character.",https://www.goodreads.com/series/180842-george-smiley
72,Lucas Davenport,28,37,"Lucas Davenport, police detective and war games designer in Minneapolis, Minnesota:",https://www.goodreads.com/series/41404-lucas-davenport
73,Bernie Gunther,13,14,"BERNARD GUNTHER is a former soldier (he fought with the Wehrmacht on the Turkish Front in the first World War) and an ex-cop (an inspector for the Kriminalpolizei) now working as a private eye in the pre-World War II years of Berlin, specializing in the missing persons. Due to the rise of National Socialism, business is coming along nicely, thank you, even if Bernie doesn't seem to be making many friends with the powers that be. These books offer a harsh look at and a hard criticism of Nazism. Somehow Bernie manages to survive the war, and emerges in the third novel, A German Requiem, re-established as a P.I. in the smug, hypocritical world of 1947 Vienna, with its corruption, its black markets and its prostitution.",https://www.goodreads.com/series/44944-bernie-gunther
74,Lew Griffin,6,6,"Lew Griffin, a black private investigator in New Orleans, Louisiana:",https://www.goodreads.com/series/65363-lew-griffin
75,Gabriel Allon,17,23,Gabriel Allon is a master art restorer and sometime officer of Israeli intelligence.,https://www.goodreads.com/series/41082-gabriel-allon
76,Odd Thomas,8,16,"See also the . Odd Thomas, a fry cook who can communicate with the dead, in the fictional small town of Pico Mundo, California:",https://www.goodreads.com/series/43672-odd-thomas
77,Jason Bourne,14,19,"Jason Bourne, a world-traveling adventurer: Each book in the series is a whole story with a beginning and an ending, however the plot of each book relies heavily on the prior books in the series.",https://www.goodreads.com/series/40633-jason-bourne
78,Jack Noble,12,14,"From the author's website: Initially, there were two planned series featuring Jack Noble: the Noble Intentions series and the Jack Noble novels. This caused some confusion over which order the books should be read, etc. This page has been updated to reflect the newest number system (Jack Noble #1, Jack Noble #2, etc.) and is also a chronological listing of these stories, but not the order in which they were written. Those who have followed along since the beginning know that I like to go write out of order. http://ltryan.com/noble-intentions/",https://www.goodreads.com/series/150044-jack-noble
79,Jim Stringer,9,9,"Jim Stringer, a railway worker and amateur sleuth in the early 1900s, in England:",https://www.goodreads.com/series/43691-jim-stringer
80,Hamish Macbeth,33,38,"In the Scottish Highlands remote village of Lochdubh, in the real county of Sutherland, tall thin red-haired hazel-eyed quietly clever police Sergeant Hamish Macbeth solves murders. Although Lochdubh and neighbouring Strathbane are fictional, other places are real.",https://www.goodreads.com/series/51878-hamish-macbeth
81,Yashim the Eunuch,5,6,Yashim Togalu is an Ottoman investigator in Istanbul. The series is set in the early 19th century.,https://www.goodreads.com/series/43995-yashim-the-eunuch
82,Daisy Dalrymple,23,29,"Daisy Dalrymple, a journalist in Hampshire, England in the 1920s. Cozy mystery series.",https://www.goodreads.com/series/41574-daisy-dalrymple
83,Lincoln Rhyme,14,22,Lincoln Rhyme is a former NYPD Homicide Detective who is now a Forensic Consultant with the Dept. since he became a quadriplegic. He is partnered with Amelia Sachs who acts as his eyes as she walks crime scenes.,https://www.goodreads.com/series/40606-lincoln-rhyme
84,Anna Curtis,5,6,"Legal thrillers featuring Anna Curtis, a prosecutor at the U.S. Attorney's Office in Washington. D.C.",https://www.goodreads.com/series/105177-anna-curtis
85,Bed-and-Breakfast Mysteries,31,33,Mysteries starring Judith McMonigle (later Flynn) with her bed-and-breakfast Hillside Manor on Heraldsgate Hill.,https://www.goodreads.com/series/55251-bed-and-breakfast-mysteries
86,Joe Hunter,12,17,"Joe Hunter, an ex-counterterrorism operative raised in Manchester, England, now a vigilante for hire in the USA:",https://www.goodreads.com/series/46542-joe-hunter
87,Nigel Strangeways,16,16,"Nigel Strangeways, an Oxford graduate, amateur sleuth, in England:",https://www.goodreads.com/series/58374-nigel-strangeways
88,Anita Ray,4,6,Anita Ray helps her aunt manage a hotel in south India.,https://www.goodreads.com/series/52975-anita-ray
89,Alex Delaware,33,39,Alex Delaware is a child psychologist. The series is set in Los Angeles.,https://www.goodreads.com/series/41421-alex-delaware
90,Charlie Berlin,3,3,A 1950's Detective Sergeant in suburban Melbourne. An ex WWII bomber pilot and POW.,https://www.goodreads.com/series/77499-charlie-berlin
91,Katie Maguire,9,10,"Katie Maguire was one of seven sisters born to a police Inspector in Cork, but the only sister who decided to follow her father and join An Garda Siochana. With her bright green eyes and short red hair, she looks like an Irish pixie, but she is no soft touch. To the dismay of some of her male subordinates, she rose quickly through the ranks, gaining a reputation for catching Cork's killers, often at great personal cost. Katie spent seven years in a turbulent marriage with builder Paul Maguire, with whom she bore, and lost, a son.",https://www.goodreads.com/series/98980-katie-maguire
92,Bell Elkins,6,10,"Bell Elkins, the prosecuting attorney for Raythune County, West Virginia:",https://www.goodreads.com/series/100280-bell-elkins
93,Dirk Pitt,24,25,"Currently, the chronological order that these books should be read in is: 1. Pacific Vortex 2. The Mediterranean Caper 3. Iceberg 4. Raise the Titanic 5. Vixen 03 6. Night Probe 7. Deep Six 8. Cyclops 9. Treasure 10. Dragon 11. Sahara 12. Inca Gold 13. Shock Wave 14. Flood Tide 15. Atlantis Found 16. Valhalla Rising 17. Trojan Odyssey 18. Black Wind 19. Treasure of Khan 20. Arctic Drift 21. Crescent Dawn 22. Poseidon's Arrow 23. Havana Storm The books below are in publication order. Series also known as: * Le avventure di Dirk PittDirk Eric Pitt is a renowned adventurer. While Dirk may be considered the hero of the series, Al Giordino is the man behind him. In the course of his work as a marine engineer of the National Underwater and Marine Agency (NUMA), an oceanographic research organization headed by Admiral James Sandecker with Rudi Gunn as second in command, Dirk Pitt has made numerous important shipwreck discoveries, as well as thwarted a large number of plans by villains intent on global catastrophe or world domination. Pacific Vortex!was the first written Dirk Pitt novel, before The Mediterranean Caper. However, it was not published until 1983, between Night Probe!and Deep Six. Each book in the series is a whole story with a beginning and an ending, however there are minor references to prior stories in the series.",https://www.goodreads.com/series/40653-dirk-pitt
94,Lake District Mystery,7,7,"This series, set in and around Cumbria, England's Lake District, features Detective Chief Inspector Hannah Scarlett and historian Daniel Kind.",https://www.goodreads.com/series/50047-lake-district-mystery
95,Thea Stilton,25,33,Thea Stilton is the younger sister of . Numbering reflects English translations. Numbering in other languages varies.,https://www.goodreads.com/series/50646-thea-stilton
96,Harry Bosch,22,26,"Please follow the series order per the author's website:https://www.michaelconnelly.com/series/ Hieronymus ""Harry"" Bosch - a Los Angeles Police Department detective who retired and became a private investigator for a couple of novels, before returning to LAPD's Open Unsolved Unit, a fictional unit based on LAPD's actual Cold Case Homicide Unit, and later the Robbery Homicide Division (RHD) Homicide Special Unit.",https://www.goodreads.com/series/40769-harry-bosch
97,Shades of Death,4,5,"This series follows the son of a serial killer, who hunts down other serial killers.",https://www.goodreads.com/series/172179-shades-of-death
98,Nick Baron,3,3,"Wraith is chronologically a prequel to the events in Shadow Catcher, but is also a full novel on its own.",https://www.goodreads.com/series/147511-nick-baron
99,Bibliophile Mystery,12,13,"Brooklyn Wainwright, a rare book expert in San Francisco, California, in the Bibliophile mysteries:",https://www.goodreads.com/series/46593-bibliophile-mystery
100,Phryne Fisher,20,23,"The Honourable Miss Phryne Fisher is a 1920s London socialite living in Melbourne, Australia (author's country). She is highly fashionable and generous, knows poverty from humble origins; war deaths elevated her father to British aristocracy. Over the series her household expands: maid Dot, butler Mr. Butler & cook Mrs. Butler, cab-drivers Bert & Cec, adopted Ruthie & Jane. She helps Detective Inspector Jack Robinson and Constable Hugh Collins, sweet on Dot. An Australian ABC TV series (began 2012) stays close to cast and plots of books, but not exact.",https://www.goodreads.com/series/40997-phryne-fisher
101,Mickey Haller,5,5,"Michael ""Mickey"" Haller, Junior is literary character created by Michael Connelly for the 2005 novel The Lincoln Lawyer. Haller, a Los Angeles-based defense attorney is the paternal half-brother of Connelly's primary character, LAPD Detective Hieronymus ""Harry"" Bosch. Mickey Haller Background: Born in 1965 in Los Angeles to a B-list movie actress from Mexico and the famous criminal defense attorney, J. Michael Haller. He was named after his father, who died when Mickey was five. After law school, he worked in the Public Defenders' Office for about 3 years. He left and went into private practice as a criminal defense attorney, opening up Michael Haller and Associates. Books in published order: The Lincoln Lawyer (2005) The Brass Verdict (2008) Nine Dragons (2009) (small part) The Reversal (2010) The Fifth Witness (2011) The Gods of Guilt (2013) The Crossing (2015) (small part) http://www.michaelconnelly.com/extras/series/#Haller",https://www.goodreads.com/series/44303-the-lincoln-lawyer
102,Jack Reacher,23,54,"Jack Reacher is a drifter and ex-military policeman. Each book in the series is a self-contained story, and the plot of each book relies very little on the prior books in the series.",https://www.goodreads.com/series/40549-jack-reacher
